count,track_name,timing,track_id,artist,album,acousticness,danceability,instrumentalness,liveness,loudness,tempo
124,Epilogue,0,47DeTufpEGrePu6TaVEuoN,Jóhann Jóhannsson,The Theory of Everything (Original Motion Picture Soundtrack),0.989,0.252,0.873,0.108,-24.711,135.774
125,Misery,0,1aSYjufU8PNmUvHibsngcx,Melodrama,Wounded Heart,0.991,0.601,0.927,0.12,-20.653,113.958
126,Leafs' Dance,0,6HZroTm8ScgYCelR3Bg8le,Fabrizio Paterlini,Transitions III,0.979,0.343,0.953,0.0962,-37.526,100.595
127,Behind Every Decision,0,2kbruQXVXFmxxm4l75zuwy,Yehezkel Raz,"Preludes, Book 2 - Torrents",0.995,0.235,0.79,0.0956,-37.822,69.677
128,Happy Tears,0,5qoxaTocADLacguJtCaGU7,James Heather,Modulations: EP2,0.993,0.277,0.922,0.109,-27.299,68.3
129,dream river.,0,1Gdcsjq1KpDyqaHvnBr7u1,Woodsman,dream river. (Async Ross reworks),0.969,0.252,0.876,0.105,-26.619,140.779
130,Perpetual Motion,0,5z0OIg2MtPXnjo2XnKn69V,Jacob LaVallee,Perpetual Motion,0.993,0.405,0.947,0.11,-21.851,117.147
131,Gloomy Night,0,38Mh3KBXS95kSJTar6dI9l,Melodrama,Wounded Heart,0.991,0.395,0.899,0.128,-16.831,216.019
132,Homesick,0,0CrgeJUsttpoRwDl7g7Rru,Fabrizio Paterlini,Transitions,0.99,0.266,0.92,0.0894,-34.775,123.76
133,With Love Comes Loss (Arr. for Piano Solo),0,33FtwY8jXSPaHRtEGFggwO,John Powell,Piano Solos from How to Train Your Dragon: The Hidden World,0.996,0,0.957,0.108,-30.998,0
134,Before You Left,0,6IVIZuZrtuSlSPghHR1vRU,Yehezkel Raz,"Preludes, Book 1 - Streams",0.995,0.473,0.956,0.0996,-37.476,94.988
135,Pour Les Oiseaux,0,16VVal7diuS4a6ONTUXtmy,Sylvain Chauveau,Des Plumes Dans La Tête,0.968,0.389,0.918,0.101,-19.771,70.422
136,La noyée - Amelie soundtrack,1,2ZZ3SXe3q8fwzVtIrQpEKy,Mercuzio Pianist,La noyée,0.995,0.567,0.892,0.0981,-21.787,129.95
137,Melancholy Life Is Sad,0,00aNuc6lcTOMXxmgmnxPYZ,Melodrama,Wounded Heart,0.995,0.615,0.921,0.113,-14.302,119.956
138,If only I could tell,0,3x25wW5Z2pUtfrNJbPna7o,Fabrizio Paterlini,Transitions,0.989,0.312,0.907,0.0947,-39.919,66.601
139,Find a Melody (Edit),0,78hENZb4lorYnIGuASkmiq,Andrea Vanzo,Find a Melody (Edit),0.983,0.59,0.935,0.098,-25.69,121.897
140,Umrika,0,5AREdjPjB1gYZU2aKm75I0,Dustin O'Halloran,Umrika (Original Motion Picture Soundtrack),0.933,0.102,0.782,0.0873,-35.073,216.429
141,Memento,0,7rluktTepDJTxl6Jb35otq,Ben Crosland,The Turn,0.985,0.42,0.942,0.0889,-24.783,136.583
142,Birds,1,42EBfKNHKa9gXsfsSPqGaq,Virginio Aiello,Easy Piano Songs,0.986,0.207,0.793,0.109,-29.159,179.686
143,The Nature of Melancholy,0,7w52bbdrOWpBQK0cD0MBmn,Melodrama,Wounded Heart,0.986,0.453,0.95,0.11,-16.257,67.021
144,Summer Story,0,14rJfKM7UnD93WcfeFX76D,Fabrizio Paterlini,Transitions,0.989,0.474,0.943,0.1,-30.834,66.392
145,For Stormboy,0,1gLbbnyTOnx6LrCQ87c0gp,Various Artists,Ambrosia (Official Soundtrack),0.992,0.197,0.861,0.0878,-29.125,123.367
146,Chalkboard,1,7bJ6xGa3RG2dQgNiK10uAv,Jóhann Jóhannsson,The Theory of Everything (Original Motion Picture Soundtrack),0.889,0.432,0.772,0.0939,-15.925,92.682
147,The North Wind - Daigo Hanada Re-work,0,3oM82Zz63KrnYQ0ZaTTQ9l,Jim Perkins,The North Wind (Daigo Hanada Re-work),0.964,0.181,0.95,0.106,-31.629,137.152
148,Quiet Assumptions,0,0uVs0ISRhn8xlBYTJcSffL,Elskavon,Traditions & Traitors,0.988,0.345,0.894,0.0892,-30.974,70.737
149,In Memories,0,4q01Psv4bRSpRCyI6gXZiY,Melodrama,Wounded Heart,0.982,0.498,0.938,0.106,-19.357,100.01
150,Gentle Thoughts,0,3v5GaIy9gSF1BlvqW0faxu,Fabrizio Paterlini,Transitions II,0.965,0.594,0.963,0.0988,-34.495,115.046
151,All Night Parking (with Erroll Garner) Interlude,1,496vIKS2INz840xZaKncvR,Adele,30,0.67,0.734,2.35E-05,0.194,-9.666,127.989
152,Quietly Yours,1,7wRijQK8vRmGLK0RYW7Vr1,Birdy,Persuasion (Soundtrack from the Netflix Film),0.841,0.44,0.00249,0.114,-14.264,154.074
153,ceilings,0,2L9N0zZnd37dwF0clgxMGI,Lizzy McAlpine,five seconds flat,0.473,0.516,0.00194,0.215,-11.762,148.005
154,when the party's over,0,43zdsphuZLzwA9k4DJhU0I,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",0.978,0.367,3.97E-05,0.0897,-14.084,82.642
