,artist,album,track_name,track_id,acousticness,danceability,energy,instrumentalness,liveness,loudness,tempo,valence
47,Elskavon,Traditions & Traitors,Quiet Assumptions,0uVs0ISRhn8xlBYTJcSffL,0.988,0.345,0.00543,0.894,0.0892,-30.974,70.737,0.185
48,Melodrama,Wounded Heart,In Memories,4q01Psv4bRSpRCyI6gXZiY,0.982,0.498,0.181,0.938,0.106,-19.357,100.01,0.286
49,Fabrizio Paterlini,Transitions II,Gentle Thoughts,3v5GaIy9gSF1BlvqW0faxu,0.965,0.594,0.0479,0.963,0.0988,-34.495,115.046,0.095
50,Adele,30,All Night Parking (with Erroll Garner) Interlude,496vIKS2INz840xZaKncvR,0.67,0.734,0.497,2.35e-05,0.194,-9.666,127.989,0.307
51,Birdy,Persuasion (Soundtrack from the Netflix Film),Quietly Yours,7wRijQK8vRmGLK0RYW7Vr1,0.841,0.44,0.357,0.00249,0.114,-14.264,154.074,0.286
52,Lizzy McAlpine,five seconds flat,ceilings,2L9N0zZnd37dwF0clgxMGI,0.473,0.516,0.322,0.00194,0.215,-11.762,148.005,0.261
53,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",when the party's over,43zdsphuZLzwA9k4DJhU0I,0.978,0.367,0.111,3.97e-05,0.0897,-14.084,82.642,0.198
54,Lord Huron,Strange Trails,The Night We Met,3hRV0jL3vUpRrcy398teAU,0.969,0.544,0.369,0.279,0.639,-9.514,87.01,0.102
55,Amy Winehouse,Back To Black (Deluxe Edition),Love Is A Losing Game,3uliGwmB52ZA7brgpZMzyH,0.337,0.484,0.293,0.00627,0.146,-16.544,165.008,0.562
56,SYML,SYML,Where's My Love,1B62o4CbdL9ckGvwsz2cgn,0.868,0.604,0.36,0.0343,0.112,-10.109,103.985,0.37
57,Adele,Hometown Glory,Hometown Glory,3rWRug4G3BjW33bxFwrEr9,0.963,0.482,0.333,0.000906,0.117,-10.956,122.546,0.284
58,Tom Rosenthal,Z-Sides,Lights Are On,4IhTXiZLKATmwhMZIb1GQN,0.981,0.44,0.04,0.465,0.111,-16.887,135.965,0.249
59,Lorde,Melodrama,Liability,6Kkt27YmFyIFrcX3QXFi2o,0.92,0.587,0.229,0.0,0.1,-11.254,75.67,0.379
60,Lana Del Rey,Norman Fucking Rockwell!,Cinnamon Girl,2mdEsXPu8ZmkHRRtAdC09e,0.814,0.294,0.337,0.414,0.14,-10.614,91.781,0.135
61,Billie Eilish,dont smile at me,ocean eyes,7hDVYcQq6MxkdJGweuCtl9,0.816,0.511,0.363,0.0317,0.084,-7.65,144.892,0.169
62,Harry Styles,Harry's House,Keep Driving,2NcQic8JxdjAlAHuNbOIRE,0.321,0.721,0.479,0.00156,0.182,-9.669,164.948,0.902
